Layers,Powder_Hight,SCanPowder_hight_delta,Entity_hight_delta,Entity_hight,,,
134,4.02,0.0599999,0.03,3.99,,,
135,4.05,0.0600002,0.0300001,4.02,,,
136,4.08,0.0599999,0.03,4.05,,,
137,4.11,0.0599999,0.03,4.08,,,
138,4.14,0.0599999,0.03,4.11,,,
139,4.17,0.0600004,0.0300002,4.14,,,
140,4.2,0.0599999,0.03,4.17,,,
141,4.23,0.0599999,0.03,4.2,,,
142,4.26,0.0600004,0.0300002,4.23,,,
143,4.29,0.0599999,0.03,4.26,,,
144,4.32,0.0599999,0.03,4.29,,,
145,4.35,0.0599999,0.03,4.32,,,
146,4.38,0.0600004,0.0300002,4.35,,,
147,4.41,0.0599999,0.03,4.38,,,
148,4.44,0.0599999,0.03,4.41,,,
149,4.47,0.0599999,0.03,4.44,,,
150,4.5,0.0600004,0.0300002,4.47,,,
151,4.53,0.0600004,0.0300002,4.5,,,
152,4.56,0.0599999,0.03,4.53,,,
153,4.59,0.0600004,0.0300002,4.56,,,
154,4.62,0.0599999,0.03,4.59,,,
155,4.65,0.0599999,0.03,4.62,,,
156,4.68,0.0599999,0.03,4.65,,,
157,4.71,0.0600004,0.0300002,4.68,,,
158,4.74,0.0599999,0.03,4.71,,,
159,4.77,0.0599999,0.03,4.74,,,
160,4.8,0.0600004,0.0300002,4.77,,,
161,4.83,0.0599999,0.03,4.8,,,
162,4.86,0.0599999,0.03,4.83,,,
163,4.89,0.0599999,0.03,4.86,,,
164,4.92,0.0600004,0.0300002,4.89,,,
165,4.95,0.0599999,0.03,4.92,,,
166,4.98,0.0599999,0.03,4.95,,,
167,5.01,0.0600004,0.0300002,4.98,,,
168,5.04,0.0599999,0.03,5.01,,,
169,5.07,0.0599999,0.03,5.04,,,
170,5.1,0.0599999,0.03,5.07,,,
171,5.13,0.0600004,0.0300002,5.1,,,
172,5.16,0.0599999,0.03,5.13,,,
173,5.19,0.0599999,0.03,5.16,,,
174,5.22,0.0599999,0.03,5.19,,,
175,5.25,0.0600004,0.0300002,5.22,,,
176,5.28,0.0600004,0.0300002,5.25,,,
177,5.31,0.0599999,0.03,5.28,,,
178,5.34,0.0600004,0.0300002,5.31,,,
179,5.37,0.0599999,0.03,5.34,,,
180,5.4,0.0599999,0.03,5.37,,,
181,5.43,0.0599999,0.03,5.4,,,
182,5.46,0.0600004,0.0300002,5.43,,,
183,5.49,0.0599999,0.03,5.46,,,
184,5.52,0.0599999,0.03,5.49,,,
185,5.55,0.0600004,0.0300002,5.52,,,
186,5.58,0.0599999,0.03,5.55,,,
187,5.61,0.0599999,0.03,5.58,,,
188,5.64,0.0599999,0.03,5.61,,,
189,5.67,0.0600004,0.0300002,5.64,,,
190,5.7,0.0599999,0.03,5.67,,,
191,5.73,0.0599999,0.03,5.7,,,
192,5.76,0.0600004,0.0300002,5.73,,,
193,5.79,0.0599999,0.03,5.76,,,
194,5.82,0.0599999,0.03,5.79,,,
195,5.85,0.0599999,0.03,5.82,,,
196,5.88,0.0600004,0.0300002,5.85,,,
197,5.91,0.0599999,0.03,5.88,,,
198,5.94,0.0599999,0.03,5.91,,,
199,5.97,0.0599999,0.03,5.94,,,
200,6,0.0600004,0.0300002,5.97,,,
201,6.03,0.0600004,0.0300002,6,,,
202,6.06,0.0599999,0.03,6.03,,,
203,6.09,0.0600004,0.0300002,6.06,,,
204,6.12,0.0599999,0.03,6.09,,,
205,6.15,0.0599999,0.03,6.12,,,
206,6.18,0.0599999,0.03,6.15,,,
207,6.21,0.0600004,0.0300002,6.18,,,
208,6.24,0.0599999,0.03,6.21,,,
209,6.27,0.0599999,0.03,6.24,,,
